Elegido;111;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Codigo;d;d+;d-;B;B+;B-;T;T+;T-;D;D+;D-;C;C+;C-;HRC CUB+;HRC CUB-;HRC CONO+;HRC CONO-;PERFIL CUB;PERFIL CONO;PERFIL ROD.;RUG.PISTA CONO;RUG. RESPALDO CONO;PISTA CUBETA;CODIGO DE PROD.;Fecha Rev.;Rev.;;;;;;;;;;;;;;;;;;;;;;;;
1;572;NO;NO;NO;NO;NO;NO;NO;NO;NO;139.992;25;0;28.575;0;-150;;;;;;;;;;;BPB-054-572;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
2;580;82.55;0;-20;36.098;0;-200;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-580;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
3;15123;31.75;;;19.05;;;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-15123;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
4;15245;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;0;-16;14.288;0;-120;;;;;;;;;;;BPB-054-15245;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
5;25521;NO;NO;NO;NO;NO;NO;NO;NO;NO;83.05;0;-18;19.05;0;-200;;;;;;;;;;;BPB-054-25521;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
6;29620;NO;NO;NO;NO;NO;NO;NO;NO;NO;112.712;0;-18;19.05;0;-150;;;;;;;;;;;BPB-054-29620;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
7;29685;73.025;0;-15;25.4;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-29685;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
8;29685;73.025;13;0;25.4;0;-150;NO;NO;NO;110;0;-18;24;0;-150;;;;;;;;;;;BPB-053-29685;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
9;30204;20;0;-12;14;0;-120;15.25;200;0;47;0;-14;12;0;-120;;;;;;;;;;;;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
10;30206;30;0;-12;16;0;-120;17.25;200;0;62;0;-16;14;0;-120;;;;;;;;;;;"BPB-054-Y-30206-MX
BPB-053-X-30206-MX";2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
11;30207;35;0;-12;17;0;-120;18.25;200;0;72;0;-16;15;0;-120;;;;;;;;;;;BPB-058-30207-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
12;30209;45;0;-12;19;0;-120;20.75;200;0;85;0;-18;16;0;-120;;;;;;;;;;;"BPB-054-Y-30209-MX
BPB-053-X-30209-MX                  ";2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
13;30210;50;0;-12;20;0;-120;21.75;200;0;90;0;-18;17;0;-120;;;;;;;;;;;"BPB-053-X-30210-MX
BPB-054-Y-30210-MX";2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
14;30211;55;0;-15;21;0;-150;22.75;200;0;100;0;-18;18;0;-150;;;;;;;;;;;BPB-058-30211-MX;2010-12-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
15;30213;65;0;-15;23;0;-150;24.75;200;0;120;0;-18;20;0;-150;;;;;;;;;;;;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
16;30214;70;0;-15;24;0;-150;26.25;200;0;125;0;-20;21;0;-150;;;;;;;;;;;"BPB-053-X-30214-MX
BPB-054-Y-30214-MX";2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
17;31520;NO;NO;NO;NO;NO;NO;NO;NO;NO;76.2;0;-16;23.812;0;-120;;;;;;;;;;;BPB-054-31520;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
18;31594;34.925;0;-12;28.575;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-31594;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
19;32011;55;0;-15;23;0;-150;23;200;0;90;0;-18;17.5;0;-150;;;;;;;;;;;BPB-053-X-32011;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
20;32210;50;0;-12;23;0;-120;24.75;200;0;90;0;-14;19;0;-120;;;;;;;;;;;"BPB-054-Y-32210-MX
BPB-053-X-32210-MX                  ";2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
21;32211;55;0;-15;25;0;-150;26.75;200;0;100;0;-18;21;0;-150;;;;;;;;;;;BPB-053-Y-32211;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
22;32212;60;0;-15;28;0;-150;29.75;200;0;110;0;-18;24;0;-150;;;;;;;;;;;"BPB-053-X-32212-MX 
BPB-054-Y-32212-MX";2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
23;32213;65;0;-15;31;0;-150;32.75;200;0;120;0;-18;27;0;-150;;;;;;;;;;;"BPB-054-X-32213-MX
BPB-053X-32213-MX";2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
24;32214;70;0;-15;31;0;-150;33.25;200;0;125;0;-20;27;0;-150;;;;;;;;;;;;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
25;32218;90;0;-20;40;0;-200;42.5;20;-20;160;0;-25;34;0;-200;;;;;;;;;;;;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
26;33010;50;0;-12;24;0;-120;24;200;0;80;0;-16;19;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-058-33010;2011-04-15 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
27;33112;60;0;-15;30;0;-150;30;200;0;100;0;-18;23;0;-150;;;;;;;;;;;BPB-053-X-33112;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
28;33117;85;0;-20;41;0;-200;41;200;-200;140;0;-20;32;0;-200;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-058-33117;2011-04-15 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
29;010-DTR2047;NO;NO;NO;NO;NO;NO;NO;NO;NO;47;0;-14;35;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-DTR-2047;2011-04-28 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
30;30205 CONO;25;0;-12;15;0;-120;;;;;;;;;;;;;;;;;;;;BPB-053-30205;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
31;30205 CUBETA;;;;;;;;;;52;0;-12;13;0;-120;;;;;;;;;;;BPB-054-Y-30205-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
32;30207 CONO;35;0;-12;17;0;-120;18.25;0.2;0;;;;;;;;;;;;;;;;;BPB-053-X-30207-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
33;30207 CUBETA;;;;;;;;;;72;0;-16;15;0;-120;;;;;;;;;;;BPB-054-Y-30207-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
34;30208 (CUBETA);;;;;;;;;;80;0;-16;16;0;-120;;;;;;;;;;;BPB-054-Y-30208-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
35;30208(cono);40;0;-12;18;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-X-30208;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
36;30208-MX;40;0;-12;18;0;-120;19.75;200;0;80;0;-16;16;0;-120;;;;;;;;;;;BPB-058-30208-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
37;32211(cono);55;0;-15;25;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-X-32211;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
38;32213 (CUBETA);65;0;-15;31;0;-150;32.75;200;0;120;0;-18;27;0;-150;;;;;;;;;;;BPB-054-Y-32213-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
39;32216 (CUBETA);80;0;-15;33;0;-150;35.25;200;0;140;0;-20;28;0;-150;;;;;;;;;;;BPB-054-Y-32216-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
40;378A;57.15;0;-15;21.946;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-387A;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
41;382-A;NO;NO;NO;NO;NO;NO;NO;NO;NO;96.83;0;-18;15.87;0;-200;;;;;;;;;;;BPB-054-382-A;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
42;740 (CONO);80.96;0;-20;46.67;0;-200;;;;;;;;;;;;;;;;;;;;BPB-053-740;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
43;742 (CUBETA);;;;;;;;;;150.08;0;-25;36.51;0;-200;;;;;;;;;;;BPB-054-742;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
44;752 (CUBETA);;;;;;;;;;161.92;0;-25;38.1;0;-200;;;;;;;;;;;BPB-054-752;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
45;759 (CONO);88.9;0;-20;48.26;0;-200;;;;;;;;;;;;;;;;;;;;BPB-053-759;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
46;BBT-329013;29;0;-12;14.732;0;-120;14.224;200;0;50.292;0;-16;10.668;0;200;;;;;;;;;;;BPB-                           ;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
47;DTR2047-FM;20;0;-12;40;0;-120;NO;NO;NO;47;0;-14;35;0;-120;;;;;;;;;;;BPB-048-DTR-2047-FM;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
48;DTR-2549-FM;25;0;-12;45;0;-120;NO;NO;NO;49;0;-14;40;0;-120;;;;;;;;;;;BPB-048-DTR-2549-FM;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
49;DTR2549FM=JRME2549;25;0;-12;45;0;-120;45;0;-120;49;0;-14;40;0;-120;;;;;;;;;;;MID-054-JRME2549;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
50;DTR2549FM=JRME2549 (CONO);25;0;-12;45;0;-120;;;;;;;;;;;;;;;;;;;;MID-053-JRME-2549-CONO;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
51;DTR2549FM=JRME2549 (CUP);;;;;;;;;;49;0;-14;40;0;-120;;;;;;;;;;;MID-054-JRME-2549-CUP;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
52;DTR2552;25;0;-12;22.5;0;-60;45;0;-120;52;0;-14;40;0;-120;;;;;;;;;;;"BPB-053-020-DTR2552
BPB-054-010-DTR2552";2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
53;DTR-3060-FM;30;0;-12;18.5;0;-60;NO;NO;NO;60;0;-16;37;0;-120;;;;;;;;;;;BPB-048-DTR-3060-FM;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
54;DTR-3062-FM;30;0;-12;50;0;-120;NO;NO;NO;62;0;-15;40;0;-120;;;;;;;;;;;BPB-048-DTR3062-FM;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
55;DTR3565-FM;35;0;-12;35;0;-240;NO;NO;NO;65;0;-16;35;150;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-048-DTR3565-FM;2010-11-11 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
56;DTR3572FM;35;0;-12;35;0;-6;70;0;-120;72;0;-180;60;0;-20;;;;;;;;;;;"BPB-053-DTR3572-CONE
BPB-054-DTR3572-CUP";2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
57;DTR4080FM;40;0;-12;32.5;0;-75;65;0;-150;80;0;-16;55;0;-150;;;;;;;;;;;"BPB-053-DTR4080-CONE
BPB-054-DTR4080-CUP";2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
58;HM-212011 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;122.238;0;-20;29.718;0;-150;;;;;;;;;;;BPB-054-HM-212011;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
59;HM-212049 (CONO);66.675;0;-15;38.354;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-HM-212049;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
60;HM518410;;;;;;;;;;152.4;25;0;30.162;0;-200;;;;;;;;;;;BPB-050-HM518410;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
61;HM518445;88.9;25;0;39.688;0.076;-0.254;39.688;0.203;0;;;;;;;;;;;;;;;;;BPB-050-HM-518445;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
62;HM-88610 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;72.233;0;-16;19.842;0;-120;;;;;;;;;;;BPB-054-HM-88610;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
63;HM-88649;34.925;0;-12;25.4;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-HM 88649;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
64;JL819310;NO;NO;NO;NO;NO;NO;NO;NO;NO;135;0;-20;20;0;-100;;;;;;;;;;;BPB-054-JL819310;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
65;JM205110;50;0;-12;28;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-054-JM-205110;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
66;JM205149;50;0;-12;28;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-JM-205149;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
67;JRME2047;20;0;-12;20;0;-60;40;0;-120;47;0;-14;35;0;-120;;;;;;;;;;;MID-058-JRME2047;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
68;JRME2549-16 (CUB);;;;;;;;;;50.292;25;0;40;0;-120;;;;;;;;;;;BPB-054-JRME2549-16;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
69;JRME-3062-01;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;0;-13;40;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;;2011-05-02 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
70;L44610;NO;NO;NO;NO;NO;NO;NO;NO;NO;50.292;0;-16;10.668;0;-120;;;;;;;;;;;BPB-054-L-44610;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
71;L44643;25.4;0;-12;14.732;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-L-44643;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
72;L-45410 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;50.292;0;-16;10.668;0;-120;;;;;;;;;;;BPB-054-L-45410;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
73;L-45449 (CONO);29;0;-12;14.732;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-L-45449;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
74;LM102910;NO;NO;NO;NO;NO;NO;NO;NO;NO;73.431;25;0;15.748;0;-120;;;;;;;;;;;BPB-054-LM-102910;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
75;LM102949 (CONO);45.242;13;0;19.812;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM102949;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
76;LM104911;NO;NO;NO;NO;NO;NO;NO;NO;NO;82.55;0;-18;16.51;0;-120;;;;;;;;;;;BPB-054-LM104911;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
77;LM-104949 (CONO);50.8;0;-15;22.225;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM-104949;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
78;LM11710;NO;NO;NO;NO;NO;NO;NO;NO;NO;39.87;25;0;10.66;0;-120;;;;;;;;;;;BPB-054-LM-11710;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
79;LM-11749 (CONO);17.462;0;-12;14.605;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM-11749;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
80;LM12710;NO;NO;NO;NO;NO;NO;NO;NO;NO;45.237;25;0;12.065;0;-120;;;;;;;;;;;BPB-054-LM-12710;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
81;LM-12749 (CONO);21.986;0;-12;16.637;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM-12749;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
82;LM-29710 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;65.088;0;-16;13.97;0;-120;;;;;;;;;;;BPB-054-LM-29710;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
83;LM-29749 (CONO);38.1;0;-12;18.288;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM-29749;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
84;LM44610;NO;NO;NO;NO;NO;NO;NO;NO;NO;50.292;0;-16;10.668;0;-120;;;;;;;;;;;BPB-054-LM44610;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
85;LM44649;26.988;0;-12;14.732;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM 44649;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
86;LM-48510 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;65.088;0;-16;13.97;0;-120;;;;;;;;;;;BPB-LM-48510;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
87;LM-48548 (CONO);34.925;0;-12;18.288;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM-48548;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
88;LM-67010;NO;NO;NO;NO;NO;NO;NO;NO;NO;59.131;25;0;11.811;0;-120;;;;;;;;;;;BPB-054-LM-67010;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
89;LM-67048 (CONO);31.75;0;-12;16.764;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM-67048;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
90;S33SR;32;0;-12;65.1;0;-200;57;0;-120;58;0;-16;57;0;-120;;;;;;;;;;;BPB-048-S33SR;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
91;SET 10;39.689;13;0;22.076;76;-254;18.778;200;0;73.04;25;0;15.3;51;-254;;;;;;;;;;;BPB-031-SET-10;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
92;SET 20;39.09;13;0;22.076;76;-254;19.4;200;0;80;0;-13;15.3;51;-254;;;;;;;;;;;BPB-031-SET-20;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
