Elegido;111;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;;;;;;;;;;;;;;;;;;;;;;;;
93;SET 80;45;0;-12;26;0;-120;23.75;200;0;80;0;-16;;;;;;;;;;;;;;BPB-031-SET-80;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
94;SET 9;35;0;-12;20.6;0;-120;18;200;0;65;0;-16;14;0;-120;;;;;;;;;;;BPB-031-SET-9;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
95;TCX203;17;0;-12;12;0;-120;13.25;200;0;40;0;-14;11;0;-12;;;;;;;;;;;BPB-053-TCX203;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
96;TCX204;20;0;-12;14;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX204;2011-06-08 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
97;TCX205;25;0;-12;15;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX205;2011-06-08 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
98;TCX206;30;0;-12;16;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX206;2011-06-08 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
99;TCX208;40;0;-12;18;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX208;2011-06-08 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
100;TCX209;45;0;-12;19;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX209;2011-05-30 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
101;TCX211;55;0;-150;22.75;200;0;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX211;2011-05-09 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
102;TCX212;60;0;-15;22;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-TCX212;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
103;TCX216;80;0;-15;26;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX216;2011-01-21 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
104;TCX305;25;0;-12;17;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-TCX305;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
105;TCX308;40;0;-12;23;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-TCX308;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
106;TCX309;45;0;-12;25;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;……………………;2012-03-29 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
107;TCY203;NO;NO;NO;NO;NO;NO;NO;NO;NO;40;0;-14;11;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY203;2011-04-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
108;TCY204;NO;NO;NO;NO;NO;NO;NO;NO;NO;47;0;-14;12;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY204;2011-04-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
109;TCY205;NO;NO;NO;NO;NO;NO;NO;NO;NO;52;0;-12;13;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY205;2011-04-26 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
110;TCY206;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;-;-16;14;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY206;2011-05-02 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
111;TCY207;NO;NO;NO;NO;NO;NO;NO;NO;NO;72;0;-16;15;0;-120;62;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;BPB-054-TCY207;2012-10-11 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
112;TCY208;NO;NO;NO;NO;NO;NO;NO;NO;NO;80;0;-16;16;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY208;2011-05-20 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
113;TCY209;NO;NO;NO;NO;NO;NO;NO;NO;NO;85;0;-18;16;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY209;2011-04-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
114;TCY210;NO;NO;NO;NO;NO;NO;NO;NO;NO;90;0;-18;17;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY210;2011-09-02 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
115;TCY211;NO;NO;NO;NO;NO;NO;NO;NO;NO;100;0;-18;18;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY211;2011-02-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
116;TCY212;NO;NO;NO;NO;NO;NO;NO;NO;NO;110;0;-18;19;0;-150;;;;;;;;;;;BPB-054-TCY212;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
117;TCY216;NO;NO;NO;NO;NO;NO;NO;NO;NO;140;0;-20;22;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY216;2011-04-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
118;TCY305;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;0;-16;15;0;-120;;;;;;;;;;;BPB-054-TCY305;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
119;TCY309;NO;NO;NO;NO;NO;NO;NO;NO;NO;100;0;-18;22;0;-200;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;BPB-054-TCY309;2012-04-19 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
120;TD013;65;0;-15;23;0;-150;23;200;0;100;0;-18;17.5;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;;2011-01-13 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
121;TDX006;30;0;-12;44.5;100;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-TDX006;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
122;TDX007;35;0;-12;18;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;CONVEX;CONVEX;CONVEX;NO;NO;NO;……………………;2011-10-03 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
123;TDX008;40;0;-12;19;200;0;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-TDX008;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
124;TDX009;45;0;-12;20;200;0;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-TDX009;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
125;TDX207;35;0;12;23;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TDX207;2011-01-21 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
126;TDX208;40;0;-12;23;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TDX208;2011-06-08 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
127;TDX-208;40;0;-12;23;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-TDX208;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
128;TDX209;45;0;-12;23;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;……………………;2012-09-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
129;TDX211;55;0;-15;26;200;0;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;58;62;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;BPB-053-TDX211;;5;;;;;;;;;;;;;;;;;;;;;;;;
130;TDX212;60;0;-15;28;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;……………………;2011-10-03 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
131;TDX213;65;0;-15;31;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;……………………;2012-09-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
132;TDX215;75;0;15;31;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TDX215;2011-01-21 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
133;TDX216;80;0;-15;33;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;……………………;2011-10-03 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
134;TDX217;85;0;-20;36;0;-200;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TDX217;2011-05-19 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
135;TDX218;90;0;-20;40;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;……………………;2011-10-03 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
136;TDX310;50;0;-12;40;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TDX310;2011-01-21 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
137;TDY006;NO;NO;NO;NO;NO;NO;NO;NO;NO;55;0;-16;13;0;-120;;;;;;;;;;;BPB-054-TDY006;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
138;TDY007;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;0;-16;14;0;-120;NO;NO;NO;NO;CONVEX;CONVEX;CONVEX;NO;NO;NO;BPB-054-TDY007;2011-09-13 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
139;TDY008;NO;NO;NO;NO;NO;NO;NO;NO;NO;68;0;-16;14.5;0;-120;;;;;;;;;;;BPB-054-TDY008;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
140;TDY009;NO;NO;NO;NO;NO;NO;NO;NO;NO;75;0;-16;15.5;0;-120;;;;;;;;;;;BPB-054-TDY009;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
141;TDY207;NO;NO;NO;NO;NO;NO;NO;NO;NO;72;0;-16;19;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TDY207;2011-01-14 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
142;TDY208;NO;NO;NO;NO;NO;NO;NO;NO;NO;80;0;-16;19;0;-120;;;;;;;;;;;BPB-054-TDY208;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
143;TDY208;NO;NO;NO;NO;NO;NO;NO;NO;NO;80;0;-16;19;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TDY208;2011-05-20 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
144;TDY209;NO;NO;NO;NO;NO;NO;NO;NO;NO;85;0;-18;19;0;-120;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;……………………..;2012-09-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
145;TDY210;NO;NO;NO;NO;NO;NO;NO;NO;NO;90;0;-18;19;0;-120;62;58;NO;NO;CONVEX;CONVEX;NO;NO;NO;NO;………………….;2012-04-10 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
146;TDY211;NO;NO;NO;NO;NO;NO;NO;NO;NO;100;0;-18;21;0;-150;NO;NO;NO;NO;CONVEX;CONVEX;CONVEX;NO;NO;NO;BPB-054-TDY211;2011-09-13 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
147;TDY212;NO;NO;NO;NO;NO;NO;NO;NO;NO;110;0;-18;24;0;-150;62;58;62;58;NO;NO;NO;NO;NO;NO;BPB-054-TDY212;2011-08-24 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
148;TDY213;NO;NO;NO;NO;NO;NO;NO;NO;NO;120;0;-18;27;0;-150;62;58;62;58;CONVEX;NO;NO;NO;NO;NO;BPB-054-TDY213;2011-08-26 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
149;TDY215;NO;NO;NO;NO;NO;NO;NO;NO;NO;130;0;-20;27;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TDY215;2011-04-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
150;TDY216;NO;NO;NO;NO;NO;NO;NO;NO;NO;140;0;-20;28;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TDY216;2011-08-09 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
151;TDY217;NO;NO;NO;NO;NO;NO;NO;NO;NO;150;0;-20;30;0;-200;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TDY217;2011-04-27 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
152;TDY218;NO;NO;NO;NO;NO;NO;NO;NO;NO;160;0;-25;34;0;-200;NO;NO;NO;NO;CONVEX;CONVEX;CONVEX;NO;NO;NO;BPB-054-TDY218;2011-09-15 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
153;TDY310;NO;NO;NO;NO;NO;NO;NO;NO;NO;110;0;-18;33;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TDY310;2011-04-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
154;TTX110;50;0;-12;20;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;BPB-054-TTX110;2012-03-08 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
155;TX1845;88.9;25;0;39.688;0;-200;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;CONVEX;CONVEX;CONVEX;NO;NO;NO;BPB-053-TX1845;2012-09-17 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
156;TY 8410;;;;;;;;;;152.4;25;0;30.162;0;-200;;;;;;;;;;;BPB-054-TY8410;2012-01-30 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
157;X-30206;30;0;-12;16;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-X-30206-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
158;X-30209;45;0;-12;19;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-X-30209-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
159;X30210;50;0;-12;20;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-X-30210-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
160;X30210;50;0;-12;20;0;-120;NO;NO;NO;;;;;;;;;;;;;;;;;BPB-053-X-30210-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
161;X-30211;55;0;-15;21;0;-150;NO;NO;NO;;;;;;;;;;;;;;;;;BPB-053-X-30211-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
162;X-30310;50;0;-12;27;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-X-30310-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
163;X-32005-MX;25;0;-12;15;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-X-32005-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
164;X-32007-MX;35;0;-12;18;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-X-32007;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
165;X-32011;55;0;-15;23;0;-150;23;200;0;90;0;-18;17.5;0;-150;;;;;;;;;;;BPB-054-Y-32011-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
166;X320-32X;32;0;-12;17;0;-12;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-X320-32X;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
167;X-32212-MX;60;0;-15;28;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-X-32212-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
168;X-32213;65;0;-15;31;0;-150;NO;NO;NO;;;;;;;;;;;;;;;;;BPB-053-32213-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
169;X-32214;70;0;-15;31;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-X-32214-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
170;X-32216;80;0;-15;33;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-X-32216-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
171;Y-30206;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;0;-16;14;0;-120;;;;;;;;;;;BPB-054-Y-30206-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
172;Y30209;NO;NO;NO;NO;NO;NO;NO;NO;NO;85;0;-18;16;0;-120;;;;;;;;;;;BPB-054-Y-30209-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
173;Y30210;;;;;;;NO;NO;NO;90;0;-18;17;0;-120;;;;;;;;;;;BPB-054-Y-30210-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
174;Y30211;NO;NO;NO;NO;NO;NO;NO;NO;NO;100;0;-18;18;0;-150;;;;;;;;;;;BPB-054-Y-30211-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
175;Y-30310;NO;NO;NO;NO;NO;NO;NO;NO;NO;110;0;-18;23;0;-120;;;;;;;;;;;BPB-054-Y-30310-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
176;Y-32005-MX;NO;NO;NO;NO;NO;NO;NO;NO;NO;47;0;-14;11.5;0;-120;;;;;;;;;;;BPB-054-Y-32005-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
177;Y-32007-MX;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;0;-16;14;0;-120;;;;;;;;;;;BPB-054-Y-32007;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
178;Y-320-32X;32;0;-12;17;0;-100;17;200;0;58;0;-16;13;0;-150;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;……………………;2011-11-18 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
179;Y-32212;NO;NO;NO;NO;NO;NO;NO;NO;NO;110;0;-18;24;0;-150;;;;;;;;;;;BPB-054-Y-32212-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
180;Y-32214;NO;NO;NO;NO;NO;NO;NO;NO;NO;125;0;-20;27;0;-150;;;;;;;;;;;BPB-054-Y-32214-MX;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
181;TCX210-ZANG;64.5;620;0;19.3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;B&P-005-TCX210;2018-09-05 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
182;TCY207-DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;72;0;-16;15;0;-150;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;B&P-054-TCY207;2018-04-24 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
183;X-30207-DEFA;35;0;-12;17;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;B&P-053-X-30207;2018-04-24 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
