Elegido;356;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;;;;;;
109;SAB206-20;18;0;-120;62;0;-13;38.1;0;-120;31.75;18;0;Radial;6;20;64;58;64;58;4,6 - 5,5;Polyrex;33cNm / 0,33Nm;22cNm / 0,22Nm;………………;……….;-;;;;;;;;
110;SAB206-20-02;NO;NO;NO;NO;NO;NO;38.1;0;-120;31.75;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
111;SAB206-30DG;18;0;-120;62;0;-13;38.1;0;-120;30;18;0;C0;5;20;64;58;64;58;4,6 - 5,5;Polyrex;33cNm / 0,33Nm;22cNm / 0,22Nm;2017-09-18 00:00:00;A;-;;;;;;;;
112;SAB206-30RG;19;0;-120;62;0;-15;38.1;0;-50;30;20;0;C3;13;28;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
113;SAB207-20DG;20;0;-120;72;0;-13;42.9;0;-120;31.35;18;0;C3;15;33;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
114;SAB207-35-A2;NO;NO;NO;NO;NO;NO;43.1;120;-20;34.85;0;-160;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2011-04-28 00:00:00;0;-;;;;;;;;
115;SAB207-35D1;19;0;-120;72;0;-13;42.9;0;-120;35;21;0;C3;13;28;NO;NO;NO;NO;;;…………….;…………….;………………;……….;-;;;;;;;;
116;SAB207-35DG;19;0;-120;72;0;-13;42.9;0;-120;35;21;0;C3;6;20;58;64;58;64;6 - 7,3;Polyrex;…………….;…………….;………………;……….;-;;;;;;;;
117;SAB207-35DG;19;0;-120;72;0;-13;42.9;0;-120;35;21;0;C0;6;20;58;64;58;64;6 - 7,3 ;Polyrex;0.3;0.448;2017-09-15 00:00:00;A;-;;;;;;;;
118;SAB207-35MM;20;0;-120;72;0;0;42.9;0;-120;35;20;0;C3;15;33;58;62;58;62;50% - 60%;Polyrex;…………….;…………….;………………;……….;-;;;;;;;;
119;B&P-047-SAB-208-40DG - ZJXY;22;0;-120;80;0;-13;49.2;0;-120;40;21;0;C0;6;20;64;58;64;58;9,75 - 11,7;Polyrex;0,567 Nm;0,378 Nm;2020-11-30 00:00:00;B;-;;;;;;;;
120;SAB208-40MM-DBL;22;0;-120;80;0;-13;49.2;0;-120;40;21;0;C3;15;33;;;;;;;0.567;0.378;………………;……….;-;;;;;;;;
121;BPB-047-SAB209-45DG - ZJXY;22;0;-120;85;0;-15;49.2;0;-120;45;21;0;C0;6;23;64;58;64;58;10,15 - 12,2;Polyrex;0,676Nm;0,451Nm;2017-09-15 00:00:00;A;-;;;;;;;;
122;SAB210-50DG;22;0;-120;90;0;-15;51.6;0;-120;50;20;0;C0;6;23;64;58;64;58;10,9 - 13,1;Polyrex;79,6cNm / 0,796Nm;53,1cNm / 0,531Nm;2011-09-09 00:00:00;0;-;;;;;;;;
123;SAB210-50MM;24;0;-120;90;0;-15;51.6;0;-120;50;20;0;C3;18;36;NO;NO;NO;NO;;;…………….;…………….;………………;……….;-;;;;;;;;
124;SAB211-55DG;25;0;-150;100;0;-15;55.6;0;-150;55;24;0;C0;8;28;64;58;64;58;16 - 19,2;Polyrex;1Nm;0672Nm;2011-09-09 00:00:00;0;-;;;;;;;;
125;SAB216-80DG;33;0;-150;140;0;-18;82.6;0;-150;80;24;0;C3;25;51;64;58;64;58;25-35%;Alvania;ESTANDAR;ESTANDAR;2009-02-12 00:00:00;0;-;;;;;;;;
126;SER-25MM;19.1;0;-120;52;0;-15;34.9;0;-120;25;18;0;Radial;5;20;64;58;64;58;2,5-3;Polyrex;9,1cNm / 0,091Nm;5,6cNm / 0,056Nm;………………;……….;-;;;;;;;;
127;BPB-048-SER-51 - CMI;42.86;0;-120;140;0;-18;77.8;0;-120;80.96;24;5;C3;30;58;64;58;64;58;50% - 60%;Polyrex;168cNm / 1,68Nm;112cNm / 1,12Nm;2010-08-23 00:00:00;0;-;;;;;;;;
128;SL-205-DBL-00;15;0;-120;52;0;-13;34.5;0;-120;25;18;0;C3;13;28;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
129;SL-206-30RR1;18;0;-120;62;0;-13;31.2;0;-120;30;18;0;C3;13;28;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
130;SL-207-35D1;18;0;-120;72;0;-13;42.9;0;-120;35;21;0;C3;15;33;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
131;SL-207-DBL-00;18;0;-120;72;0;-13;42.9;0;-120;35;21;0;C3;15;33;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
132;SL209-45RR;22;0;-120;85;0;-15;49.2;0;-120;45;21;0;C3;18;36;62;58;62;58;;;…………….;…………….;………………;……….;-;;;;;;;;
133;SL-209-DBL-00;22;0;-120;85;0;-13;49.2;12;-12;45;18;0;C3;18;36;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
134;B&P-047-ECL-209-45DG-ZJXY;22;0;-120;85;0;-15;42.8;0;-120;45;21;0;C0;6;23;64;58;64;58;9-10.7 gr;Polyrex;0.677 N.m;0.451 N.m;2018-10-30 00:00:00;B;-;;;;;;;;
135;B&P-047-ECL-212-60DG - ZJXY;27;0;-120;110;0;-15;61.8;0;-120;60;25;0;C0;8;28;64;58;64;58;50-60%;Polyrex;122cNm/1,22Nm;8,1cNm/0,81Nm;2020-11-30 00:00:00;C;-;;;;;;;;
136;BP-13002;38;0;-120;90;0;-13;38;0;-120;45;0;-12;Axial C3;23;44;NO;NO;NO;NO;17.6 - 15.4 gr;Polyrex;0.6Nm;0.5 Nm;2021-07-22 00:00:00;B;-;;;;;;;;
137;SAB-214-70MM-DBL;29;0;-120;125;0;-18;74.6;0;-150;70;24;0;C0;10;30;62;58;62;58;50-60%;Polyrex;…………….;…………….;2010-12-01 00:00:00;A;-;;;;;;;;
138;UK212-60RG;27;0;-150;110;0;-15;36;0;-150;60;24;0;C3;23;43;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
139;WSAB207-35MM;19;0;-120;72;0;0;42.9;0;-120;35;20;0;C3;15;33;NO;NO;NO;NO;;;…………….;…………….;………………;……….;-;;;;;;;;
140;WSAB209-45MM;22;0;-120;85;0;-15;49.2;0;-120;45;21;0;C3;18;36;NO;NO;NO;NO;;;…………….;…………….;………………;……….;-;;;;;;;;
141;SAB207-35-02;NO;NO;NO;NO;NO;NO;42.9;0;-120;35;21;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2011-04-28 00:00:00;0;-;;;;;;;;
142;ASL205-25-02;NO;NO;NO;NO;NO;NO;27;0;-120;25;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2011-04-27 00:00:00;0;-;;;;;;;;
143;SAB205-25-01;15;0;-120;52;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;………………;……….;-;;;;;;;;
144;SAB205-25-02;NO;NO;NO;NO;NO;NO;34;0;-120;25;20;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2016-09-30 00:00:00;0;-;;;;;;;;
145;ACL205-25-A2;NO;NO;NO;NO;NO;NO;21.65;100;20;24.85;0;-15;NO;NO;NO;NO;64;58;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
146;ECL205-25-02;NO;NO;NO;NO;NO;NO;34.8;0;-120;25;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
147;OR205;15;0;-120;52;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2011-05-11 00:00:00;0;-;;;;;;;;
148;OR205-R;15;0;-120;52;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-26 00:00:00;0;-;;;;;;;;
149;OR205-G;15;0;-120;52;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-06 00:00:00;A;-;;;;;;;;
150;SAB209-45-02;NO;NO;NO;NO;NO;NO;49.2;0;-120;45;21;0;NO;NO;NO;64;58;64;58;NO;NO;NO;NO;2016-10-04 00:00:00;0;-;;;;;;;;
151;OR209-G;22;0;-120;85;0;-15;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-09-30 00:00:00;A;-;;;;;;;;
152;ECL209-45-02;NO;NO;NO;NO;NO;NO;42.8;0;-120;45;21;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2016-09-30 00:00:00;A;-;;;;;;;;
153;OR209-19;19;0;-120;85;0;-15;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-06-13 00:00:00;0;-;;;;;;;;
154;ECL-305-02;NO;NO;NO;NO;NO;NO;36.4;0;-120;25;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2016-05-13 00:00:00;0;-;;;;;;;;
155;OR207;19;0;-120;72;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-08-09 00:00:00;0;-;;;;;;;;
156;B&P-OR206-G18-MID;18;0;-120;62;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-06-16 00:00:00;0;-;;;;;;;;
157;SAB206-30-02;NO;NO;NO;NO;NO;NO;38.1;0;-120;30;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2016-10-04 00:00:00;0;-;;;;;;;;
158;OR207-G;19;0;-120;72;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-10-04 00:00:00;A;-;;;;;;;;
159;ACL206-30-02;NO;NO;NO;NO;NO;NO;23.82;0;-120;30;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2016-10-06 00:00:00;0;-;;;;;;;;
160;SAB208-40-02;NO;NO;NO;NO;NO;NO;49.2;0;-120;40;21;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2016-10-06 00:00:00;0;-;;;;;;;;
161;OR208-G;22;0;-120;80;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-10-06 00:00:00;0;-;;;;;;;;
162;ACL205-14-02;NO;NO;NO;NO;NO;NO;21.5;0;-120;22.225;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2016-10-07 00:00:00;0;-;;;;;;;;
163;ACL206-18-02;NO;NO;NO;NO;NO;NO;23.82;0;-120;28.575;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2014-08-20 00:00:00;0;-;;;;;;;;
164;ACL206-19-02;NO;NO;NO;NO;NO;NO;23.82;0;-120;30.163;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2016-10-07 00:00:00;0;-;;;;;;;;
165;ECL206-18-02;NO;NO;NO;NO;NO;NO;36.4;0;-120;28.575;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2016-10-07 00:00:00;0;-;;;;;;;;
166;ECL207-23-02;NO;NO;NO;NO;NO;NO;37.6;0;-120;36.51;21;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2016-10-06 00:00:00;0;-;;;;;;;;
167;ECL207-22-02;NO;NO;NO;NO;NO;NO;37.6;0;-120;34.925;21;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2016-10-06 00:00:00;0;-;;;;;;;;
168;SER16;19,1;0;-120;52;0;-13;34,9;0;-120;25,4;21;5;C3;28;13;64;58;64;58;50-60%;Polyrex;9,2cNm / 0,092Nm;5,6cNm / 0,056Nm;2016-05-13 00:00:00;0;-;;;;;;;;
169;SER12;15,9;0;-120;47;0;-11;31;0;-120;19,05;21;5;C3;28;13;64;58;64;58;50-60%;Polyrex;9,2cNm / 0,092Nm;5,6cNm / 0,056Nm;2016-05-13 00:00:00;0;-;;;;;;;;
170;SER14;19,1;0;-120;52;0;-13;34,9;0;-120;22.225;21;5;C3;28;13;64;58;64;58;50-60%;Polyrex;9,2cNm / 0,092Nm;5,6cNm / 0,056Nm;2016-05-13 00:00:00;0;-;;;;;;;;
171;SER15;19,1;0;-120;52;0;-13;34,9;0;-120;23.8125;21;5;C3;28;13;64;58;64;58;50-60%;Polyrex;9,2cNm / 0,092Nm;5,6cNm / 0,056Nm;2016-05-13 00:00:00;0;-;;;;;;;;
172;SER18;22,2;0;-120;62;0;-13;38,1;0;-120;28.575;21;5;C3;28;13;64;58;64;58;50-60%;Polyrex;9,2cNm / 0,092Nm;5,6cNm / 0,056Nm;2016-05-13 00:00:00;0;-;;;;;;;;
173;SER19;22,2;0;-120;62;0;-13;38,1;0;-120;30.1625;21;5;C3;28;13;64;58;64;58;50-60%;Polyrex;9,2cNm / 0,092Nm;5,6cNm / 0,056Nm;2016-05-13 00:00:00;0;-;;;;;;;;
174;SER23;23,8;0;-120;72;0;-13;42,9;0;-120;36.5125;21;5;C3;33;15;64;58;64;58;50-60%;Polyrex;9,2cNm / 0,092Nm;5,6cNm / 0,056Nm;2016-05-13 00:00:00;0;-;;;;;;;;
175;SER47;38,1;0;-120;130;0;-15;77,8;0;-120;74.61;24;0;C3;51;25;64;58;64;58;51,09-68,12;Polyrex;49cNm / 0,49Nm;38cNm / 0,38Nm;2016-04-13 00:00:00;B;-;;;;;;;;
176;ECL208-40-02;NO;NO;NO;NO;NO;NO;42,8;0;-120;40;21;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2016-10-06 00:00:00;0;-;;;;;;;;
177;SAB209-45LG;22;0;-120;85;0;-15;49.2;0;-50;45;25;0;C0;23;6;64;58;64;58;50-60%;Polyrex;ESTANDAR;ESTANDAR;2018-12-26 00:00:00;0;-;;;;;;;;
178;SAB209-45LG;22;0;-120;85;0;-15;49.2;0;-50;45;25;0;C0;23;6;64;58;64;58;50-60%;Polyrex;ESTANDAR;ESTANDAR;2018-12-26 00:00:00;0;-;;;;;;;;
179;ECL209-28DG;22;0;-120;85;0;-15;42.8;0;-120;44.45;21;0;C0;6;23;64;58;64;58;10.15-12.2;Polyrex;67.6cNm / 0,676Nm;45.1cNm / 0,451Nm;2017-09-18 00:00:00;A;-;;;;;;;;
180;ACL208-24RG;22;0;-120;80;0;-13;30.18;0;-120;38.1;21;0;C0;6;20;64;58;64;58;9.75 - 11.7;Polyrex;0.176;0.127;2017-09-15 00:00:00;A;-;;;;;;;;
181;SAB213-65DG;27;0;-120;120;0;-18;65.1;0;-150;65;24;0;C0;8;28;64;58;64;58;50-60%;Polyrex;1.39;0.93;CATALOGO;0;-;;;;;;;;
182;B&P-047-SAB204-12DG-ZJXY ;15;0;-120;47;0;-11;31;0;-120;19.05;20;0;C0;5;20;64;58;64;58;50-60%;Polyrex;0.169 Nm;0.113 Nm;2018-10-22 00:00:00;0;-;;;;;;;;
183;BPB-047-ACL206-30RR1-ZJXY;18;0;-120;62;0;-13;23.82;0;-120;30;18;0;C0;6;20;64;58;64;58;4.6 - 5.5;Polyrex;0.091 Nm;0.056 Nm;2020-11-30 00:00:00;D;-;;;;;;;;
184;BPB-047-GR208-24DG;22;0;-120;80;0;-13;49.2;0;-120;38.1;21;0;C3;33;15;64;58;64;58;11.7-9.75;Polyrex;0.567 Nm;0.378 Nm;2018-10-12 00:00:00;0;-;;;;;;;;
185;BPB-047-ECL-211-35-D-ZJXY;25;0;-120;100;0;-15;55.5;0;-150;55.56;24;0;C0;28;8;64;58;64;58;16 - 19.2;Polyrex;1 Nm;0.67 Nm;2021-01-28 00:00:00;H;-;;;;;;;;
186;B&P-047-ACL207-20RG-ZJXY ;19;0;-120;72;0;-15;25.4;0;-120;31.75;18;0;C0;20;6;64;58;64;58;6 - 7.3;Polyrex;0.091 Nm;0.056 Nm;2019-01-10 00:00:00;A;-;;;;;;;;
187;BPB-047-ECL-212-39-D-ZJXY;27C189:U189;0;-120;110;0;-15;61.8;0;-120;61.91;24;0;C0;8;28;64;58;64;58;50-60%;Polyrex;1.22 Nm;0.813 Nm;2018-11-15 00:00:00;D;-;;;;;;;;
188;BPB-047-SAB215-75DG-HNHL;30;0;-120;130;0;-18;77.8;0;-150;75;24;0;C0;10;30;64;58;64;58;50-60%;Polyrex;ESTANDAR;ESTANDAR;2018-10-29 00:00:00;A;-;;;;;;;;
189;B&P-047-ASL-207-35MM-HBZD;19;0;-120;72;0;-15;32;0;-120;35;21;0;C0;6;20;64;58;64;58;60-80%;Polyrex;0.091;0.056;2024-03-04 00:00:00;B;azul;;;;;;;;
190;BPB-047-ACL206-20 -ZJXY  ;18;0;-120;62;0;-13;23.82;0;-120;31.75;18;0;Radial C0;5;20;64;58;64;58;4.6-5.5gr;Polyrex;0.0918;0.056;2021-01-28 00:00:00;B;-;;;;;;;;
191;B&P-047-ACLR208-40RG-ZJXY;22;0;-120;80;0;-13;30.18;0;-120;40;21;0;Radial C0;6;20;64;58;64;58;11.7-9.75 gr;Polyrex;0.1765;0.1271;2018-10-30 00:00:00;0;-;;;;;;;;
192;BPB-047-ACLR-207-35M-ZJXY;19;0;-120;72;0;-13;25.4;0;-120;35;21;0;C0;6;20;64;58;64;58;50-60%;Polyrex;ESTANDAR;ESTANDAR;2019-07-02 00:00:00;A;-;;;;;;;;
193;BPB-048-SER-47-MX - CMI;38.1;0;-120;130;0;-15;77.8;0;-120;74.61;24;0;C3;25;51;64;58;64;58;68.12-51.09 gr;Polyrex;0.49 Nm;0.38 Nm;2016-04-13 00:00:00;B;-;;;;;;;;
194;BPB-047-ACL207-35R1-ZJXY;19;0;-120;72;0;-15;25.4;0;-120;35;20;0;C0;6;20;64;58;64;58;7.3-6 gr;Polyrex;0.091 Nm;0.056 Nm;2018-10-30 00:00:00;0;-;;;;;;;;
195;BPB-047-ASLR205-16-ZJXY;15;0;-120;52;0;-13;27;0;-120;25.4;18;0;C0;5;20;64;58;64;58;3.4-2.85 gr;Polyrex;0.091 Nm;0.056 Nm;2018-10-23 00:00:00;0;-;;;;;;;;
196;BPB-047-ASL-205-16-D-ZJXY;15;0;-120;52;0;-13;27;0;-120;25.4;18;0;C0;5;20;64;58;64;58;3.4-2.85 gr;Polyrex;0.091 Nm;0.056 Nm;2018-10-24 00:00:00;A;-;;;;;;;;
197;B&P-999-ECL-207-35DG ;19;0;-120;72;0;-13;37.6;0;-120;35;21;0;C0;6;20;64;58;64;58;6 - 7.3 gr;Polyrex;0.448;0.3;2017-09-18 00:00:00;A;-;;;;;;;;
198;B&P-999-ECL-211-55DG ;25;0;-150;100;0;-15;55.4;0;-150;55;24;0;C0;8;28;64;58;64;58;16 -19.2 gr;Polyrex;1 Nm;0.67 Nm;CATALOGO;;-;;;;;;;;
199;BPB-047-ACL207-35DG-ZJXY;17;0;-120;72;0;-15;25.4;0;-120;35;20;0;C0;6;20;64;58;64;58;50-60%;Polyrex;0.091 Nm;0.056 Nm;2018-10-25 00:00:00;0;-;;;;;;;;
200;B&P-047-ACL206-19RG-ZJXY;18;0;-120;62;0;-15;23.82;0;-120;30.16;20;0;C0;5;20;64;58;64;58;4.6-5.5gr;Polyrex;0.0918 Nm;0.056 Nm;2021-01-28 00:00:00;F;-;;;;;;;;
201;B&P-047-ACL204-20RG-ZJXY;15;0;-120;47;0;-11;21.41;0;-120;20;18;0;C0;5;20;64;58;64;58;50-60%;Polyrex;0.091Nm;0.056Nm;2018-10-06 00:00:00;A;-;;;;;;;;
202;B&P-047-SAB-204-20DG-ZJXY;15;0;-120;47;0;-11;31;0;-120;20;18;0;C0;5;20;64;58;64;58;50-60%;Polyrex;0.169Nm;0.113Nm;2020-11-30 00:00:00;D;-;;;;;;;;
203;B&P-047-ECL-204-20DG-ZJXY;15;0;-120;47;0;-11;34;0;-120;20;18;0;C0;5;20;64;58;64;58;50-60%;Polyrex;0.17Nm;0.11Nm;2018-10-06 00:00:00;A;-;;;;;;;;
204;B&P-047-ASL206-30RR - ZJXY;18;0;-120;62;0;-15;30;0;-120;30;18;0;C0;6;20;64;58;64;58;50-60%;Polyrex;0.091Nm;0.056Nm;2018-10-22 00:00:00;0;-;;;;;;;;
205;B&P-047-SAB-211-55DG-ZJXY;25;0;-120;100;0;-15;55.5;0;-150;55;24;0;C0;8;28;64;58;64;58;16-19.2gr;Polyrex;1Nm;0.672Nm;2020-11-30 00:00:00;B;-;;;;;;;;
206;B&P-047-ACL-208-40mm-ZJXY;22;0;-120;80;0;-13;30.18;0;-120;40;21;0;C0;6;20;64;58;64;58;11.7-9.75gr;Polyrex;0.176Nm;0.127Nm;2018-10-06 00:00:00;A;-;;;;;;;;
207;B&P-047-ACL-205-25MM-ZJXY;15;0;-120;52;0;-13;21.5;0;-120;25;18;0;C0;5;20;64;58;64;58;3.4-2.85gr;Polyrex;0.091Nm;0.056Nm;2018-10-23 00:00:00;0;-;;;;;;;;
208;BPB-047-SAB205-16DG-ZJXY;15;0;-120;52;0;-13;34;0;-120;25.4;18;0;C0;5;20;64;58;64;58;3.4-2.85gr;Polyrex;0.23Nm;0.157Nm;2018-10-24 00:00:00;B;-;;;;;;;;
209;B&P-047-SAB-209-45DG-ZJXY;22;0;-120;85;0;-15;49.2;0;-120;45;21;0;C0;6;23;64;58;64;58;12.2 - 10.15 gr;Polyrex;0.676Nm;0.451Nm;2017-09-15 00:00:00;A;-;;;;;;;;
210;B&P-048-UK-208-ZHJG;21;NO;NO;80;0;-13;31;0;-120;40;25;0;C3;15;33;64;58;64;58;11.7 - 9.75 gr;Polyrex;0.567Nm;0.378Nm;2014-07-03 00:00:00;0;-;;;;;;;;
211;BPB-048-SER-55-MX-CMI;49.2;0;-120;150;0;-18;85.7;0;-200;87.3125;28;0;C3;30;58;62;58;62;58;50% - 60%;Polyrex;NO;NO;2020-04-27 00:00:00;0;-;;;;;;;;
212;B&P-047-ECL-211-55DG-ZJXY;25;0;-150;100;0;-15;55.4;0;-150;55;24;0;C0;28;8;64;58;64;58;19.2-16 gr;Polyrex;1 Nm;0.67 Nm;2020-11-30 00:00:00;B;-;;;;;;;;
213;BPB-048-NTB1613-2RST-YS;15.9;0;-120;38;130;-130;18.1;0;-120;16;130;0;RADIAL;8;20;62;58;62;58;1.6-1.2 gr;Polyrex;0.091N.m;0.056 N.m;2019-01-07 00:00:00;C;-;;;;;;;;
214;B&P-002-SAB207-35-A2-CMI;NO;NO;NO;NO;NO;NO;42.9;0;-120;34.75;0;-160;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2020-07-22 00:00:00;0;-;;;;;;;;
215;B&P-002-ECL207-35-A2-CMI;NO;NO;NO;NO;NO;NO;37.6;0;-120;34.75;0;-160;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2020-07-22 00:00:00;0;-;;;;;;;;
