Elegido;356;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;;;;;;
308;B&P-047-UK-207-HBZD;20;0;-120;72;0;-13;27;0;-120;35;39;0;C0;6;20;64;59;64;59;6-7.3 gr;Polyrex;0.449Nm;0.299Nm;2023-12-27 00:00:00;A;-;;;;;;;;
309;B&P-047-UK-209-HBZD;22;0;-120;85;0;-15;33;0;-120;45;39;0;C0;6;23;64;59;64;59;50-60%;Polyrex;0.45Nm;0.67Nm;2023-12-27 00:00:00;A;-;;;;;;;;
310;B&P-047-ECL-212-39DG-HBZD2;27;0;-150;110;0;-15;61.8;0;-150;61.91;24;0;C0;8;28;64;59;64;59;50-60%;Polyrex;1.22 Nm;0.813 Nm;2023-12-27 00:00:00;A;;;;;;;;;
311;B&P-047-ACL205-14RG-HNHL;15;0;-120;52;0;-13;21.5;0;-120;22.225;18;0;C0;5;20;64;58;64;58;60-80%;Polyrex;0.13Nm;0.056Nm;2024-01-15 00:00:00;A;Rojo, Interno;;;;;;;;
312;B&P-047-ECL-311-32-R-HBZD;34;0;-150;120;0;-18;55.6;0;-150;50.8;24;0;C0;8;28;64;59;64;59;60-80%;Polyrex;-;-;2024-04-24 00:00:00;B;rojo;;;;;;;;
313;B&P-047-ECL211-35D-HBZD;25;0;-150;100;0;-15;55.5;0;-150;55.5625;-;-;C0;8;28;64;59;64;59;60-80%;Polyrex;1Nm;0.67Nm;2023-12-27 00:00:00;A;rojo;;;;;;;;
314;B&P-047-SAB-213-65DG-HBZD;28;0;-150;120;0;-15;65.1;0;-150;65;24;0;C0;8;28;64;58;64;58;60-80%;Polyrex;1.39Nm;0.93Nm;2024-01-24 00:00:00;A;Azul, Interno;;;;;;;;
315;B&P-047-SAB-216-80DG-HBZD;33;0;-150;140;0;-18;82.6;0;-150;80;24;0;C0;10;30;64;59;64;59;60-80%;Polyrex;2.064Nm;1.376Nm;2023-12-27 00:00:00;A;Azul, Interno;;;;;;;;
316;B&P-047-SAB-218-90DG-HBZD;37;0;-200;160;0;-25;96;0;-200;90;28;0;C0;12;36;64;59;64;59;60-80%;Polyrex;2.9724Nm;1.9816Nm;2024-01-16 00:00:00;B;Azul, Interno;;;;;;;;
317;B&P-047-ACL-205-25MM-HNHL;15;0;-120;52;0;-13;21.5;0;-120;25;18;0;C0;5;20;64;58;64;58;3.4-2.85gr;Polyrex;0.13Nm;0.056Nm;2021-01-15 00:00:00;A;Azul, Interno;;;;;;;;
318;B&P-047-ECL209-28DG-HBZD;22;0;-120;85;0;-15;42.8;0;-120;44.45;21;0;C0;6;23;64;58;64;58;9 - 10.7gr;Polyrex;0.676 Nm;0.451 Nm;2024-04-30 00:00:00;D;rojo;;;;;;;;
319;B&P-047-ACL207-23RG-HBZD;19;0;-120;72;0;-15;25.4;0;-120;36.512;21;0;C0;6;20;64;58;64;58;60-80%;Polyrex;0.091N.m;0.056 N.m;2025-03-07 00:00:00;A;Rojo, Interno;;;;;;;;
320;B&P-047-ECL-207-35DG-HBZD;19;0;-120;72;0;-13;37.6;0;-120;35;21;0;C0;6;20;64;59;64;59;60-80%;Polyrex;0.448;0.3;2024-10-18 00:00:00;0;Azul, Interno;;;;;;;;
321;B&P-048-UK-208-HBZD;21;0;-120;80;0;-13;29;0;-120;40;39;0;C0;6;20;64;59;64;59;11.7-15.6gr;Polyrex;0.567Nm;0.378Nm;2023-12-27 00:00:00;A;-;;;;;;;;
322;B&P-047-ACL204-20RG-HBZD;14;0;-120;47;0;-11;21.4;0;-120;20;18;0;C0;5;20;64;59;64;59;60-80%;Polyrex;0.091Nm;0.056Nm;2023-12-27 00:00:00;A;Azul, Interno;;;;;;;;
323;B&P-047-ECL206-18DG-HBZD;18;0;-120;62;0;-13;36.4;0;-120;28.575;18;0;C0;5;20;64;58;64;58;60-80%;Polyrex;0.33Nm;0.22Nm;2023-09-13 00:00:00;0;Rojo, Interno;;;;;;;;
324;B&P-047-ACL-208-40mm-HBZD;21;0;-120;80;0;-13;30.2;0;-120;40;21;0;C0;6;20;64;59;64;59;60-80%;Polyrex;0.176Nm;0.127Nm;2023-01-16 00:00:00;B;Azul, Interno;;;;;;;;
325;B&P-047-ECL-205-25DG - HBZD;15;0;-120;52;0;-13;34.8;0;-120;25;18;0;C0;5;20;64;58;64;58;60-80%;Polyrex;0.23;0.157;2024-08-20 00:00:00;A;Azul, Interno;;;;;;;;
326;B&P-047-ACL-209-28-HBZD;22;0;-120;85;0;-15;30.2;0;-120;44.45;21;0;C0;6;23;64;59;64;59;60-80%;Polyrex;0.176Nm;0.127Nm;2023-12-27 00:00:00;A;Rojo, Interno;;;;;;;;
327;B&P-047-ECL305-25DG-HBZD;21;0;-120;62;0;-13;34.9;0;-120;25;18;0;C0;5;20;64;59;64;59;60-80%;Polyrex;0.33Nm;0.22Nm;2023-12-27 00:00:00;A;Azul, Interno;;;;;;;;
328;B&P-047-ECL308-40DG-HBZD;27;0;-120;90;0;-15;41.3;0;-120;40;21;0;C0;6;20;64;58;64;58;60-80%;Polyrex;0.678;0.452Nm;2023-12-27 00:00:00;A;Azul, Interno;;;;;;;;
329;B&P-047-ECL205-16DG-HBZD;15;0;-120;52;0;-13;34.8;0;-120;25.4;18;0;C0;5;20;64;58;64;58;2.85 - 3.4 gr (60-80%);Polyrex;0.23;0.157;2024-08-19 00:00:00;0;Rojo;;;;;;;;
330;B&P-047-SAB-208-40DG-HBZD;21;0;-120;80;0;-13;49.2;0;-120;40;21;0;Radial C0;6;20;64;58;64;58;15,6 - 11,7;Polyrex;0,567 Nm;0,378 Nm;2024-10-18 00:00:00;0;Azul;;;;;;;;
331;B&P-047-ECL307-35DG-CMI;25;0;-120;80;0;-13;38.1;0;-120;35;21;0;C0;6;20;64;58;64;58;60-80%;Polyrex;0.44 Nm;0.3 Nm;2024-05-23 00:00:00;A;azul;;;;;;;;
332;BPB-047-SAB209-45DG - AIHUA;22;0;-120;85;0;-15;49.2;0;-120;45;21;0;C0;6;23;64;58;64;58;10,15 - 12,2;Polyrex;0,676Nm;0,451Nm;-;-;SIN PLANO;;;;;;;;
333;BPB-047-ECL-206-30MM - AIHUA;19;0;-120;62;NO;NO;36.5;NO;NO;30;20;0;C3;13;28;62;58;62;58;50-60%;Alvania;NO;NO;-;-;SIN PLANO;;;;;;;;
334;B&P-047-SAB207-P-CMI;19;0;-120;72;0;-13;42.9;0;-120;33.9;100;0;C3;15;33;64;58;64;58;60-80%;Polyrex;0,448Nm;0,3Nm;2024-10-07 00:00:00;B;Rojo;;;;;;;;
335;B&P-047-ECL-206-30DG-HBZD;18;0;-120;62;0;-13;36.4;0;-120;30;18;0;C3;13;28;64;58;64;58;60-80%;Polyrex;33cNm / 0,33Nm;22cNm / 0,22Nm;2024-02-19 00:00:00;B;Azul;;;;;;;;
336;B&P-047-SAB-209-45DG-HBZD;22;0;-120;85;0;-15;49.2;0;-120;45;21;0;C0;6;23;64;58;64;58;60-80%;Polyrex;0.676Nm;0.451Nm;2024-12-27 00:00:00;B;Azul;;;;;;;;
337;B&P-047-ECL-210-50DG-HBZD;22;0;-120;90;0;-15;49.2;0;-120;50;21;0;C0;6;23;64;58;64;58;60-80%;Polyrex;0,796Nm;0,531Nm;2024-11-15 00:00:00;A;Azul;;;;;;;;
338;B&P-047-SS-UC-205-25-ZJSC;17;NO;NO;52;0;-13;34.1;0;-120;25;25;0;C3;13;28;NO;NO;NO;NO;0.35;Standard;standard;standard;2007-08-28 00:00:00;0;NO;;;;;;;;
339;B&P-047-ACL205-16RG-HBZD;15;0;-120;52;0;-13;21.4;0;-120;25.4;18;0;C0;5;20;64;58;64;58;50-60%;Polyrex;0,091Nm;0,056Nm;2024-10-18 00:00:00;0;Rojo;;;;;;;;
340;BPB-047-ASL-203-17MM-RODATECNICA;13;NO;NO;40;NO;NO;22.5;NO;NO;17;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-;0;Rojo;Se controlo con catalogo Peer;;;;;;;
341;B&P-047-ACL-205-25MM-CMI;15;0;-120;52;0;-13;21.5;0;-120;25;18;0;C3;13;18;64;58;64;58;2.85 - 3.4gr;Polyrex;0,091Nm;0,056Nm;2024-12-05 00:00:00;B;Azul;;;;;;;;
342;B&P-047-ECL-211-55DG-CMI;25;0;-150;100;0;-15;55.4;0;-150;55;24;0;C0;6;28;64;58;64;58;60-80%;Polyrex;0,796Nm;0,531Nm;2024-12-05 00:00:00;B;Azul;;;;;;;;
343;B&P-047-ACL207-20RG-CMI;19;0;-120;72;0;-13;25.4;0;-120;31.75;18;0;C3;15;33;64;58;64;58;60-80%;Polyrex;0,091Nm;0,056Nm;2024-10-22 00:00:00;A;Rojo;;;;;;;;
344;B&P-047-SAB-207-35DG-HBZD;19;0;-120;72;0;-13;42.9;0;-120;35;21;0;C0;6;20;64;58;64;58;60-80%;Polyrex;0.488Nm;0.3Nm;2024-11-15 00:00:00;A;Azul;;;;;;;;
345;B&P-047-SAB209-28DG-HBZD;22;0;-120;85;0;-15;49.2;0;-120;44.45;21;0;C3;36;18;64;58;64;58;80-60%;Polyrex;0,676Nm;0,451Nm;2024-12-27 00:00:00;C;Rojo;;;;;;;;
346;B&P-047-SAB-206-30DG-HBZD;18;0;-120;62;0;-13;38.1;0;-120;30;18;0;C0;5;20;64;58;64;58;50-60%;Polyrex;0,33Nm;0,22Nm;2025-02-18 00:00:00;D;Azul;;;;;;;;
347;B&P-047-ASL205-14RG-HBZD;15;0;-120;52;0;-13;27;0;-120;22.225;18;0;C0;5;20;64;58;64;58;2.85gr - 3.4gr;Polyrex;0.091Nm;0.056Nm;2025-02-18 00:00:00;A;Rojo;;;;;;;;
348;B&P-047-SAB-205-25DG-HBZD;15;0;-120;52;0;-13;34;0;-120;25;18;0;C0;5;20;64;58;64;58;2.85gr - 3.4gr (60-80%);Polyrex;0.23Nm;0.157Nm;2024-12-27 00:00:00;A;Azul;;;;;;;;
349;B&P-047-ACL-208-40RG-HBZD;21;0;-120;80;0;-13;30.2;0;-120;40;21;0;C0;6;20;64;59;64;59;60-80%;Polyrex;0.176Nm;0.127Nm;2023-01-16 00:00:00;B;Azul;;;;;;;;
350;B&P-047-ECL212-39DG-HBZD;27;0;-150;110;0;-15;61.8;0;-150;61.913;24;0;C0;8;28;64;59;64;59;60-80%;Polyrex;1.22 Nm;0.813 Nm;2025-02-18 00:00:00;B;Rojo;;;;;;;;
351;B&P-047-SAB-214-70DG;29;0;-120;125;0;-18;74.6;0;-150;70;24;0;C0;8;28;64;58;64;58;60-80%;Polyrex;1.56 Nm;1 Nm;2025-02-18 00:00:00;A;Azul;;;;;;;;
352;B&P-047-ASL206-30RG-HBZD;18;0;-120;62;0;-13;30;0;-120;30;18;0;C0;6;20;64;58;64;58;60-80%;Polyrex;0,091 Nm;0,056 Nm;2025-03-07 00:00:00;B;Azul;;;;;;;;
353;BPB-047-ACL206-20-HBZD;18;0;-120;62;0;-13;23.8;0;-120;31.75;18;0;C0;6;20;64;58;64;58;60-80%;Polyrex;0,0918 Nm;0,056 Nm;2022-10-28 00:00:00;0;Rojo;;;;;;;;
354;B&P-047-SAB-210-50DG-HBZD;22;0;-120;90;0;-15;51.6;0;-120;50;21;0;C0;6;23;64;58;64;58;60-80%;Polyrex;0.796 Nm;0.531 Nm;2024-11-15 00:00:00;A;Azul;;;;;;;;
355;B&P-047-ACL206-18RG-HBZD;18;0;-120;62;0;-13;23.8;0;-120;28.575;18;0;C0;5;20;64;58;64;58;60-80%;Polyrex;0,0918 Nm;0,056 Nm;2024-01-03 00:00:00;0;Rojo,interno;;;;;;;;
356;B&P-047-ACLR208-24RR -HBZD;22;0;-120;80;0;-13;30.2;0;-120;38.1;21;0;C0;6;20;64;58;64;58;9.75 - 11.7 gr;Polyrex;0.176;0.127;2024-12-05 00:00:00;E;Azul, Interno;;;;;;;;
357;B&P-047-ECL208-24DG-CMI;22;0;-120;80;0;-13;42.8;0;-120;38.1;21;0;C0;6;20;64;58;64;58;60-80%;Polyrex;0.567 Nm;0.378 Nm;2025-02-24 00:00:00;C;Rojo;;;;;;;;
358;B&P-047-SAB-206-30DG-CMI;18;0;-120;62;0;-13;38.1;0;-120;30;18;0;C0;5;20;64;58;64;58;4,6 - 5,5 gr;Polyrex;0,33 Nm;0,22 Nm;2025-04-23 00:00:00;D;Azul;;;;;;;;
359;B&P-047-ECL211-35D-CMI;25;0;-120;100;0;-15;55.5;0;-120;55.56;-;-;C0;8;28;64;58;64;58;60-80%;Polyrex;1 Nm;0,67 Nm;2025-05-06 00:00:00;J;Rojo;;;;;;;;
360;B&P-047-ACL206-18RG-CMI;18;0;-120;62;0;-12;23.8;0;-120;28575;18;0;C0;5;20;64;58;64;58;60-80%;Polyrex;0,0918 Nm;0,056 Nm;2025-05-06 00:00:00;A;;;;;;;;;
361;BPB-047-ACL206-20-CMI;18;0;-120;62;0;-13;23.8;0;-120;31.75;18;0;C0;6;20;64;58;64;58;60-80%;Polyrex;0,0918 Nm;0,056 Nm;2025-05-06 00:00:00;A;;;;;;;;;
362;B&P-047-ACL206-30RG-CMI;18;0;-120;62;0;-13;23.82;0;-120;30;18;0;C0;6;20;64;58;64;58;60-80%;Polyrex;0,091 Nm;0,056 Nm;2025-05-07 00:00:00;F;;;;;;;;;
363;B&P-047-ACL206-30RR1-CMI;18;0;-120;62;0;-13;23.82;0;-120;30;18;0;C0;5;20;64;58;64;58;4,6 - 5.5 gr (50-60%) ;Polyrex;0,091 Nm;0,056 Nm;2025-09-08 00:00:00;I;;;;;;;;;
364;B&P-047-ASL-205-25MM-CMI;15;0;-120;52;0;-13;27;0;-12;25;18;0;C0;5;20;64;58;64;58;60-80%;Polyrex;0,091 Nm;0,056 Nm;2022-12-05 00:00:00;A;;;;;;;;;
365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
