Elegido;447;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
119;B&P-053-TCX208 - ZANG;40;0;-12;18;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2016-12-14 00:00:00;A;;;
120;B&P-053-TCX209 - ZANG;45;0;-12;19;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2016-12-14 00:00:00;A;;;
121;B&P-053-TCX210 - ZANG;50;0;-12;20;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2016-08-23 00:00:00;A;;;
122;B&P-053-TCX211 - ZANG;55;0;-15;21;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2016-12-14 00:00:00;A;;;
123;B&P-053-TCX212 - ZANG;60;0;-15;22;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2012-09-04 00:00:00;0;;;
124;B&P-053-TCX310 - ZANG;50;0;-12;27;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2017-08-09 00:00:00;A;;;
125;B&P-053-TDX008 - ZANG;40;0;-12;19;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2017-08-09 00:00:00;A;;;
126;B&P-053-TDX010 - ZANG;50;0;-12;20;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2016-12-13 00:00:00;A;;;
127;B&P-053-TDX206 - ZANG;30;0;-12;20;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2017-08-09 00:00:00;A;;;
128;B&P-053-TDX208 - ZANG;40;0;-12;23;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2016-12-13 00:00:00;A;;;
129;B&P-053-TDX209 - ZANG;45;0;-12;23;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2016-12-13 00:00:00;A;;;
130;B&P-053-TDX210 - ZANG;50;0;-12;23;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2017-08-15 00:00:00;A;;;
131;B&P-053-TDX211 - ZANG;55;0;-15;25;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2016-12-13 00:00:00;A;;;
132;B&P-054-TCY203 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;40;0;-14;11;0;-120;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-09-04 00:00:00;0;;;
133;B&P-054-TCY204 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;47;0;-14;12;0;-120;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-05-03 00:00:00;0;;;
134;B&P-054-TCY205 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;52;0;-16;13;0;-150;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2011-11-02 00:00:00;0;;;
135;B&P-054-TCY206 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;0;-16;14;0;-150;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-03-12 00:00:00;0;;;
136;B&P-054-TCY207 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;72;0;-16;15;0;-150;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-01-11 00:00:00;0;;;
137;B&P-054-TCY208 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;80;0;-16;16;0;-120;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-09-04 00:00:00;0;;;
138;B&P-054-TCY209 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;85;0;-18;16;0;-200;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2011-11-02 00:00:00;0;;;
139;B&P-054-TCY210 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;90;0;-18;17;0;-120;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2015-03-05 00:00:00;0;;;
140;B&P-054-TCY211 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;100;0;-18;18;0;-150;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-09-04 00:00:00;0;;;
141;B&P-054-TCY212 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;110;0;-18;19;0;-150;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-09-04 00:00:00;0;;;
142;B&P-054-TCY310 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;110;0;-18;23;0;-200;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2013-04-29 00:00:00;0;;;
143;B&P-054-TDY008 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;68;0;-16;14.5;0;-150;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2013-04-29 00:00:00;0;;;
144;B&P-054-TDY010 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;80;0;-16;15.5;0;-150;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-09-04 00:00:00;0;;;
145;B&P-054-TDY206 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;0;-16;17;0;-150;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-09-04 00:00:00;0;;;
146;B&P-054-TDY208 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;80;0;-16;19;0;-200;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-09-04 00:00:00;0;;;
147;B&P-054-TDY209 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;85;0;-18;19;0;-200;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2013-04-18 00:00:00;0;;;
148;B&P-054-TDY210 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;90;0;-18;19;0;-200;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-09-04 00:00:00;0;;;
149;B&P-054-TDY211 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;100;0;-16;21;0;-120;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-09-04 00:00:00;0;;;
150;B&P-058-30213-MX - ZANG;65;0;-15;23;0;-150;24.75;200;0;120;0;-18;20;0;-200;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2017-08-10 00:00:00;0;;;
151;B&P-058-30306-MX - ZANG;30;0;-12;19;0;-100;20.75;200;0;72;0;-16;16;0;-150;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2017-08-10 00:00:00;0;;;
152;B&P-058-30307-MX - ZANG;35;0;-12;21;0;-100;22.75;203;0;80;0;-16;18;0;-150;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2017-08-10 00:00:00;0;;;
153;B&P-058-32005-MX - ZANG;25;0;-12;15;0;-120;15;200;0;47;0;-14;11.5;0;-120;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2017-08-17 00:00:00;0;;;
154;B&P-058-32013-MX - ZANG;65;0;-15;23;0;-100;23;200;0;100;0;-18;17.5;0;-200;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2011-01-26 00:00:00;0;;;
155;B&P-058-32014-MX - ZANG;70;0;-15;25;0;-120;25;200;0;110;0;-18;19;0;-120;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2016-05-04 00:00:00;0;;;
156;B&P-058-32207-MX - ZANG;35;0;-12;23;0;-100;24.25;200;0;72;0;-16;19;0;-150;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2017-08-01 00:00:00;A;;;
157;B&P-058-32214-MX - ZANG;70;0;-15;31;0;-150;33.25;200;0;125;0;-20;27;0;-120;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2017-08-01 00:00:00;0;;;
158;B&P-058-32314-MX - ZANG;70;0;-15;51;0;-150;54;200;0;150;0;-20;42;0;-150;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2017-08-15 00:00:00;0;;;
159;B&P-058-32316-MX - ZANG;80;0;-15;58;0;-150;61.5;200;0;170;0;-25;48;0;-150;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2017-08-15 00:00:00;0;;;
160;BBT-329013;29;0;-12;14.732;0;-120;14.224;200;0;50.292;0;-16;10.668;0;200;;;;;;;;;;;………………..;……..;;;
161;DTR1742;17;0;-12;44;0;-120;NO;NO;NO;42;0;-14;40;0;-120;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;………………..;……..;;;
162;DTR2047-FM;20;0;-12;40;0;-120;NO;NO;NO;47;0;-14;35;0;-120;;;;;;;;;;;………………..;……..;;;
163;DTR-2549-FM;25;0;-12;45;0;-120;NO;NO;NO;49;0;-14;40;0;-120;;;;;;;;;;;………………..;……..;;;
164;DTR2549FM=JRME2549;25;0;-12;45;0;-120;45;0;-120;49;0;-14;40;0;-120;;;;;;;;;;;………………..;……..;;;
165;B&P-053-020-DTR2549-DEFA;25;0;-12;22.5;100;0;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2023-05-18 00:00:00;0;;;
166;B&P-054-010-DTR2549-DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;49;0;-14;40;0;-120;64;58;NO;NO;NO;NO;NO;NO;NO;NO;2023-12-26 00:00:00;C;;;
167;DTR2552-FM;25;0;-12;45;0;-120;NO;NO;NO;52;0;-14;40;0;-120;64;58;64;58;NO;NO;NO;NO;NO;NO;………………..;……..;;;
168;DTR2552-JD;25;0;-12;37;0;-120;NO;NO;NO;52;0;-14;37;0;-120;64;58;64;58;NO;NO;NO;NO;NO;NO;………………..;……..;;;
169;B&P-048-DTR-3060-FM-XZD;30;0;-12;37;0;-120;NO;NO;NO;60;0;-16;37;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2023-10-17 00:00:00;G;;;
170;DTR-3062-FM;30;0;-12;50;0;-120;NO;NO;NO;62;0;-15;40;0;-120;;;;;;;;;;;………………..;……..;;;
171;B&P-048-DTR3565-FM-XZD;35;0;-12;35;0;-240;NO;NO;NO;65;0;-16;35;0;-120;64;58;64;58;NO;NO;NO;NO;NO;NO;2024-07-02 00:00:00;0;AXIAL;170;220
172;DTR3572FM;35;0;-12;35;0;-6;70;0;-120;72;0;-180;60;0;-20;;;;;;;;;;;………………..;……..;;;
173;DTR4080FM;40;0;-12;32.5;0;-75;65;0;-150;80;0;-16;55;0;-150;;;;;;;;;;;………………..;……..;;;
174;HM-212011 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;122.238;0;-20;29.718;0;-150;;;;;;;;;;;………………..;……..;;;
175;HM-212049 (CONO);66.675;0;-15;38.354;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
176;B&P-054-TCY-8410 - DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;152.4;25;0;30.162;51;-254;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2012-05-17 00:00:00;0;;;
177;B&P-053-TX1845 - DEFA;88.9;25;0;39.688;76;-254;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;CONVEX;CONVEX;NO;NO;NO;NO;2012-05-17 00:00:00;0;;;
178;HM803110;NO;NO;NO;NO;NO;NO;NO;NO;NO;88.9;25;0;23.02;0;-120;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;………………..;……..;;;
179;HM803146-10;41.275;13;0;29.37;0;-120;30.162;200;0;88.9;25;0;23.02;0;-120;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;………………..;……..;;;
180;HM-88610 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;72.233;0;-16;19.842;0;-120;;;;;;;;;;;………………..;……..;;;
181;HM-88649;34.925;0;-12;25.4;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
182;JL819310;NO;NO;NO;NO;NO;NO;NO;NO;NO;135;0;-20;20;0;-100;;;;;;;;;;;………………..;……..;;;
183;JM205110;50;0;-12;28;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
184;JM205149;50;0;-12;28;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
185;JRME2047;20;0;-12;20;0;-60;40;0;-120;47;0;-14;35;0;-120;;;;;;;;;;;………………..;……..;;;
186;JRME2549-16 (CUB);;;;;;;;;;50.292;25;0;40;0;-120;;;;;;;;;;;………………..;……..;;;
187;JRME-3062-01;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;0;-13;40;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;………………..;……..;;;
188;L44610;NO;NO;NO;NO;NO;NO;NO;NO;NO;50.292;0;-16;10.668;0;-120;;;;;;;;;;;………………..;……..;;;
189;L44643;25.4;0;-12;14.732;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
190;L-45410 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;50.292;0;-16;10.668;0;-120;;;;;;;;;;;………………..;……..;;;
191;L-45449 (CONO);29;0;-12;14.732;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
192;LM102910;NO;NO;NO;NO;NO;NO;NO;NO;NO;73.431;25;0;15.748;0;-120;;;;;;;;;;;………………..;……..;;;
193;LM102949 (CONO);45.242;13;0;19.812;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
194;LM104911;NO;NO;NO;NO;NO;NO;NO;NO;NO;82.55;0;-18;16.51;0;-120;;;;;;;;;;;………………..;……..;;;
195;LM-104949 (CONO);50.8;0;-15;22.225;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
196;LM11710;NO;NO;NO;NO;NO;NO;NO;NO;NO;39.87;25;0;10.66;0;-120;;;;;;;;;;;………………..;……..;;;
197;LM-11749 (CONO);17.462;0;-12;14.605;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
198;LM12710;NO;NO;NO;NO;NO;NO;NO;NO;NO;45.237;25;0;12.065;0;-120;;;;;;;;;;;………………..;……..;;;
199;LM-12749 (CONO);21.986;0;-12;16.637;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
200;LM-29710 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;65.088;0;-16;13.97;0;-120;;;;;;;;;;;………………..;……..;;;
201;LM-29749 (CONO);38.1;0;-12;18.288;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
202;LM44610;NO;NO;NO;NO;NO;NO;NO;NO;NO;50.292;0;-16;10.668;0;-120;;;;;;;;;;;………………..;……..;;;
203;LM44649;26.988;0;-12;14.732;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
204;LM-48510 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;65.088;0;-16;13.97;0;-120;;;;;;;;;;;………………..;……..;;;
205;LM-48548 (CONO);34.925;0;-12;18.288;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
206;LM-67010;NO;NO;NO;NO;NO;NO;NO;NO;NO;59.131;25;0;11.811;0;-120;;;;;;;;;;;………………..;……..;;;
207;LM-67048 (CONO);31.75;0;-12;16.764;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
208;S33SR;32;0;-12;65.1;0;-200;57;0;-120;58;0;-16;57;0;-120;;;;;;;;;;;………………..;……..;;;
209;SET 10;39.689;13;0;22.076;76;-254;18.778;200;0;73.04;25;0;15.3;51;-254;;;;;;;;;;;………………..;……..;;;
210;SET 20;39.09;13;0;22.076;76;-254;19.4;200;0;80;0;-13;15.3;51;-254;;;;;;;;;;;………………..;……..;;;
211;SET 80;45;0;-12;26;0;-120;23.75;200;0;80;0;-16;;;;;;;;;;;;;;………………..;……..;;;
212;SET 9;35;0;-12;20.6;0;-120;18;200;0;65;0;-16;14;0;-120;;;;;;;;;;;………………..;……..;;;
213;TBX2146W39;80;0;-15;39.2;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2015-01-08 00:00:00;0;;;
214;TBY2146W39;NO;NO;NO;NO;NO;NO;NO;NO;NO;140;0;-20;32;0;-150;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2015-01-13 00:00:00;0;;;
215;058-30212-MX - NACIONAL;60;0;-15;22;0;-150;23.75;200;0;110;0;-18;19;0;-150;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2018-03-29 00:00:00;A;;;
216;TCX204;20;0;-12;14;0;-100;15.25;200;0;47;0;-14;12;0;-120;64;58;64;58;CONVEX;CONVEX;NO;NO;NO;NO;2016-12-14 00:00:00;A;;;
217;TCX208;40;0;-12;18;0;-120;19.75;200;0;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;………………..;……..;;;
218;B&P-053-X-30213 - ZANG;65;0;-15;23;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2017-08-10 00:00:00;0;;;
219;TCX214;70;0;-15;24;0;-150;26.25;200;0;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;………………..;……..;;;
220;TCX216;80;0;-15;26;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2016-03-11 00:00:00;0;;;
221;TCX217;85;0;20;28;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N64;58;NO;CONVEX;NO;NO;NO;NO;2016-06-07 00:00:00;0;;;
222;TCX218;90;0;-20;30;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2016-06-07 00:00:00;0;;;
223;TCX219;95;0;-20;32;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2016-06-21 00:00:00;0;;;
224;TCX220;100;0;-20;34;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2016-06-21 00:00:00;0;;;
225;TCX305;25;0;-12;17;0;-100;18.25;200;0;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;………………..;……..;;;
226;B&P-053-X-30306 - ZANG;30;0;-12;19;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2017-08-10 00:00:00;0;;;
227;B&P-053-X-30307 - ZANG;35;0;-12;21;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2017-08-10 00:00:00;0;;;
228;TCX308;40;0;-12;23;0;-120;25.25;200;0;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
229;TCX309;45;0;-12;25;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2013-04-29 00:00:00;0;;;
230;TCX311;55;0;-15;29;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;………………..;……..;;;
231;TCY208;NO;NO;NO;NO;NO;NO;NO;NO;NO;80;0;-16;16;0;-120;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;………………..;……..;;;
232;B&P-054-TCY213 - ZANG;NO;NO;NO;NO;NO;NO;NO;NO;NO;120;0;-18;20;0;-200;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2017-08-10 00:00:00;0;;;
233;TCY214;NO;NO;NO;NO;NO;NO;NO;NO;NO;125;0;-20;21;0;-150;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;………………..;……..;;;
234;TCY216;NO;NO;NO;NO;NO;NO;NO;NO;NO;140;0;-20;22;0;-150;64;58;NO;NO;NO;NO;NO;NO;NO;NO;2016-03-11 00:00:00;0;;;
235;TCY217;NO;NO;NO;NO;NO;NO;NO;NO;NO;120;0;-20;24;0;-200;64;58;64;58;CONVEX;NO;NO;NO;NO;NO;2016-06-07 00:00:00;0;;;
236;TCY218;NO;NO;NO;NO;NO;NO;NO;NO;NO;160;0;-20;26;0;-200;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2016-06-07 00:00:00;0;;;
237;TCY219;NO;NO;NO;NO;NO;NO;NO;NO;NO;170;0;-20;27;0;-200;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2016-06-21 00:00:00;0;;;
