Codigo;PO;Observac_PO;Columna_D
Producto;OC;;Fecha
FIJ-TUE-0233070210;30;;26/11/2025
FIJ-BUL-0171140210;6;35;19/12/2025
FIJ-BUL-0172140210;6;35;19/12/2025
B&P-001-MS02-D;1231;;18/11/2025
B&P-002-MS02-D;1231;;18/11/2025
B&P-005-RET/SET-MS02;1231;;18/11/2025
B&P-003-BALL-15/64;1231;;18/11/2025
B&P-004-MS02RLD-BLUE;1231;;18/11/2025
B&P-001-MS04-D;1231;;18/11/2025
B&P-002-MS04-D;1231;;18/11/2025
B&P-005-RET/SET-MS04;1231;;18/11/2025
B&P-003-BALL-5/16;1231;;18/11/2025
B&P-004-MS04RLD-BLUE;1231;;18/11/2025
B&P-001-LS01-D;1231;;18/11/2025
B&P-002-LS01-D;1231;;18/11/2025
B&P-005-RET/SET-LS01;1231;;18/11/2025
B&P-003-BALL-3/16;1231;;18/11/2025
B&P-004-LS01RLD-BLUE;1231;;18/11/2025
B&P-001-LS02-D;1231;;18/11/2025
B&P-002-LS02-D;1231;;18/11/2025
B&P-005-RET/SET-LS02;1231;;18/11/2025
B&P-003-BALL-3/16;1231;;18/11/2025
B&P-004-LS02RLD-BLUE;1231;;18/11/2025
B&P-001-LS03-D;1231;;18/11/2025
B&P-002-LS03-D;1231;;18/11/2025
B&P-005-RET/SET-LS03;1231;;18/11/2025
B&P-003-BALL-3/16;1231;;18/11/2025
B&P-004-LS03RLD-BLUE;1231;;18/11/2025
B&P-001-LS04-D;1231;;18/11/2025
B&P-002-LS04-D;1231;;18/11/2025
B&P-005-RET/SET-LS04;1231;;18/11/2025
BPB-003-BALL-1/4;1231;;18/11/2025
B&P-004-LS04RLD-BLUE;1231;;18/11/2025
B&P-001-MS00-D;1231;;18/11/2025
B&P-002-MS00-D;1231;;18/11/2025
B&P-005-RET/SET-MS00;1231;;18/11/2025
B&P-003-BALL-15/64;1231;;18/11/2025
B&P-004-MS00RLD-BLUE;1231;;18/11/2025
B&P-001-MS03-D;120;890;18/11/2025
BPB-035-HK-3038;120;915;18/11/2025
B&P-047-HA-207;120;910;18/11/2025
B&P-047-HA-209;120;910;18/11/2025
B&P-047-T-210;120;910;18/11/2025
B&P-047-T-208;120;910;18/11/2025
B&P-002-MS03-D;120;890;18/11/2025
BPB-047-T-212;120;910;18/11/2025
B&P-005-RET/SET-MS03;120;890;18/11/2025
B&P-003-BALL-17/64;120;890;18/11/2025
B&P-004-MS03RLD-BLUE;120;890;18/11/2025
B&P-035-NK-2520;120;915;18/11/2025
BPB-035-NK-3230;120;915;18/11/2025
BPB-035-NKI-2020;120;915;18/11/2025
B&P-037-BP-21001-BI;1224;;18/11/2025
B&P-037-BP-21001-BD;1224;;18/11/2025
B&P-040-51116;1249;;18/11/2025
BPB-040-51204;1249;;18/11/2025
B&P-040-51208;1249;;18/11/2025
B&P-040-51106;1249;;18/11/2025
B&P-040-51108;1249;;18/11/2025
B&P-040-1208-TN-C3;1250;;18/11/2025
B&P-040-1209-TN-C3;1250;;18/11/2025
B&P-040-1308-TN-C3;1250;;18/11/2025
B&P-040-1310-TN-C3;1250;;18/11/2025
B&P-040-1312-K-TN-C3;1250;;18/11/2025
B&P-040-2205-TN-C3;1250;;18/11/2025
B&P-045-PFF-8-Z;1252;;18/11/2025
B&P-040-51115;1253;;18/11/2025
B&P-051-H-320;113;894;18/11/2025
B&P-051-H-322;113;894;18/11/2025
B&P-051-H-310;113;894;18/11/2025
B&P-051-H-306;113;894;18/11/2025
B&P-041-LS19-2RS;113;893;18/11/2025
B&P-051-H-308;113;894;18/11/2025
B&P-042-22206-CKW33C;113;899;18/11/2025
B&P-042-22207CKW33C3;113;899;18/11/2025
B&P-051-H-307;113;894;18/11/2025
B&P-051-H-309;113;894;18/11/2025
B&P-051-H-2308;113;894;18/11/2025
B&P-051-H-311;113;894;18/11/2025
B&P-051-H-314;113;894;18/11/2025
B&P-051-H-2310;113;894;18/11/2025
B&P-051-H-313;113;894;18/11/2025
B&P-051-H-208;113;894;18/11/2025
B&P-051-H-312;113;894;18/11/2025
B&P-051-H-315;113;894;18/11/2025
B&P-051-H-317;113;894;18/11/2025
B&P-004-205-DBL-08;114;1199;18/11/2025
B&P-004-204-DBL-08;114;1199;18/11/2025
B&P-004-207-DBL-08;114;1199;18/11/2025
B&P-004-SNL508-TG;155;1223;18/11/2025
B&P-004-SNL510-TG;155;1223;18/11/2025
B&P-004-SNL512-TG;155;1223;18/11/2025
B&P-004-SNL519-TG;155;1223;18/11/2025
B&P-041-LS10-2RS;927;;18/11/2025
B&P-040-2205-TN-C3;148;1278;18/11/2025
B&P-040-1207-TN-C3;148;1278;18/11/2025
B&P-040-1205-TN-C3;148;1278;18/11/2025
B&P-040-1208-K-TN-C3;148;1278;18/11/2025
BPB-033-ASA40-1-REEL;1073;;18/11/2025
B&P-033-ASA-40-2;1073;;18/11/2025
B&P-033-ASA-50-1;1073;;18/11/2025
BPB-033-ASA50-1-REEL;1073;;18/11/2025
B&P-033-ASA-50-2;1073;;18/11/2025
000-053-X-30204;1051;2;01/12/2025
000-054-TCY210;1051;2;01/12/2025
000-053-X-30211;1051;2;01/12/2025
000-054-TCY211;1051;2;01/12/2025
000-053-X-30305;1051;2;01/12/2025
000-054-TCY305;1051;2;01/12/2025
000-053-X-30307;1051;2;01/12/2025
000-054-TCY307;1051;2;01/12/2025
000-053-X-30308;1051;2;01/12/2025
000-054-TCY204;1051;2;01/12/2025
000-054-TCY308;1051;2;01/12/2025
000-053-X-30309;1051;2;01/12/2025
000-054-TCY309;1051;2;01/12/2025
000-053-X-32007;1051;2;01/12/2025
000-054-TDY007;1051;2;01/12/2025
000-053-X-32009;1051;2;01/12/2025
000-054-TDY009;1051;2;01/12/2025
000-053-X-30205;1051;2;01/12/2025
000-053-X-32205;1051;2;01/12/2025
000-054-TDY205;1051;2;01/12/2025
000-053-X-32210;1051;2;01/12/2025
000-054-TDY210;1051;2;01/12/2025
000-053-X-32214;1051;2;01/12/2025
000-054-TCY205;1051;2;01/12/2025
000-054-TDY214;1051;2;01/12/2025
000-053-HM-518445;1051;2;01/12/2025
000-054-TCY-8410;1051;2;01/12/2025
000-053-X-30206;1051;2;01/12/2025
000-054-TCY206;1051;2;01/12/2025
000-053-X-30210;1051;2;01/12/2025
B&P-041-HD09-2RS;927;;01/12/2025
B&P-047-PA-209;922;;01/12/2025
B&P-037-BP-22001-02;943;;01/12/2025
B&P-999-011;159;151;01/12/2025
B&P-999-012;159;151;01/12/2025
B&P-037-BP-22001-02;159;943;01/12/2025
B&P-999-009;159;151;01/12/2025
B&P-999-010;159;151;01/12/2025
TSG-DDS-70;1062;;01/12/2025
B&P-048-205-KYYB5;1054;;02/12/2025
B&P-048-205-KYYB5;154;1054;02/12/2025
B&P-033-ASA60-1H-REE;1064;1064;05/12/2025
B&P-033-ASA80-1H-REE;1064;1064;05/12/2025
B&P-048-210-PPB20;1261;;05/12/2025
BPB-048-BB204-KYY2;1261;;05/12/2025
B&P-001-OR206-G18;1268;;05/12/2025
B&P-002-ASL206-30-02;1268;;05/12/2025
B&P-005-CAGE206-17;1268;;05/12/2025
B&P-003-BALL-3/8;1268;;05/12/2025
B&P-004-206-RW-08;1268;;05/12/2025
B&P-001-OR206-G18;1268;;05/12/2025
B&P-002-ACL206-20-02;1268;;05/12/2025
B&P-005-CAGE206-17;1268;;05/12/2025
B&P-003-BALL-3/8;1268;;05/12/2025
B&P-004-206-RW-08;1268;;05/12/2025
B&P-010-LOC206-20;1268;;05/12/2025
B&P-001-OR207-01;1268;;05/12/2025
B&P-002-ECL207-35-02;1268;;05/12/2025
B&P-005-CAGE207-17;1268;;05/12/2025
B&P-003-BALL-7/16;1268;;05/12/2025
B&P-004-207-DBL-08;1268;;05/12/2025
B&P-010-LOC207-35;1268;;05/12/2025
B&P-047-ECL212-39D;1269;;05/12/2025
B&P-047-SAB-214-70DG;1269;;05/12/2025
B&P-040-51103;1276;;05/12/2025
B&P-040-51115;1276;;05/12/2025
B&P-048-51206;1276;;05/12/2025
B&P-040-51209;1276;;05/12/2025
B&P-040-51210;1276;;05/12/2025
B&P-040-51106;1276;;05/12/2025
B&P-040-51108;1276;;05/12/2025
B&P-040-51109;1276;;05/12/2025
B&P-040-51110;1276;;05/12/2025
B&P-040-51111;1276;;05/12/2025
B&P-040-51112;1276;;05/12/2025
B&P-040-51114;1276;;05/12/2025
B&P-001-OR205-G;902;;05/12/2025
B&P-003-BALL-5/16;902;;05/12/2025
B&P-002-ECL205-25-02;902;;05/12/2025
B&P-005-CAGE205-17;902;;05/12/2025
B&P-001-OR205-G;902;;05/12/2025
B&P-003-BALL-5/16;902;;05/12/2025
B&P-004-205-DBL-08;902;;05/12/2025
B&P-010-LOC205-25;902;;05/12/2025
B&P-002-ECL205-16-02;902;;05/12/2025
B&P-001-OR207;902;;05/12/2025
B&P-002-ECL207-35-02;902;;05/12/2025
B&P-005-CAGE207-17;902;;05/12/2025
B&P-003-BALL-7/16;902;;05/12/2025
B&P-004-207-DBL-08;902;;05/12/2025
B&P-010-LOC207-35;902;;05/12/2025
B&P-005-CAGE205-17;902;;05/12/2025
B&P-001-OR207-01;902;;05/12/2025
B&P-002-ECL207-35-02;902;;05/12/2025
B&P-005-CAGE207-17;902;;05/12/2025
B&P-003-BALL-7/16;902;;05/12/2025
BPB-027-SEAL-207DBL;902;;05/12/2025
B&P-010-LOC207-35;902;;05/12/2025
B&P-004-205-DBL-08;902;;05/12/2025
B&P-001-OR209-G;902;;05/12/2025
B&P-002-SAB209-28-02;902;;05/12/2025
B&P-005-CAGE209-17;902;;05/12/2025
B&P-003-BALL-1/2;902;;05/12/2025
B&P-004-209-DBL-08;902;;05/12/2025
B&P-001-OR210-G;902;;05/12/2025
B&P-002-ECL210-50-02;902;;05/12/2025
B&P-005-CAGE210-17;902;;05/12/2025
B&P-003-BALL-1/2;902;;05/12/2025
B&P-010-LOC205-16;902;;05/12/2025
B&P-004-210-DBL-08;902;;05/12/2025
B&P-010-LOC210-50;902;;05/12/2025
B&P-001-OR210-G;902;;05/12/2025
B&P-002-SAB210-50-02;902;;05/12/2025
B&P-005-CAGE210-17;902;;05/12/2025
B&P-003-BALL-1/2;902;;05/12/2025
B&P-004-210-DBL-08;902;;05/12/2025
B&P-002-ECL207-35-02;140;902;05/12/2025
B&P-005-CAGE207-17;140;902;05/12/2025
BPB-048-205-KRRB2;161;1055;05/12/2025
B&P-048-204-KRR2;161;1055;05/12/2025
B&P-047-SFC-85-M;158;1284;05/12/2025
B&P-045-PFM-5-Z;159;1294;05/12/2025
BPB-056-ENG-2565-CHS;1286;;05/12/2025
BPB-056-ENG-2565-CHS;160;1286;05/12/2025
B&P-040-51310;1291;;19/12/2025
B&P-040-51118;1291;;19/12/2025
B&P-042-22213CW33C3;1291;;19/12/2025
B&P-042-22211-CW33C3;1291;;19/12/2025
BPB-042-22210-CW33C3;1291;;19/12/2025
B&P-047-ECL208-24DG;1053;;19/12/2025
B&P-047-SAB-206-30DG;1054;;19/12/2025
B&P-047-ECL208-24DG;153;1053;19/12/2025
B&P-047-ECL211-35D;1053;;19/12/2025
B&P-047-ACL206-18RG;1053;;19/12/2025
BPB-047-ACL206-20;1053;;19/12/2025
B&P-047-ACL206-30RG;1053;;19/12/2025
B&P-047-ACL206-30RR1;1053;;19/12/2025
B&P-047-ASL-205-25MM;1059;;19/12/2025
B&P-048-CF5202-2RST-;1068;;19/12/2025
B&P-048-SER-51;1071;;19/12/2025
B&P-047-ECL211-35D;162;1053;19/12/2025
BPB-047-ACL206-20;162;1053;19/12/2025
B&P-047-ACL206-30RG;162;1053;19/12/2025
B&P-047-ACL206-30RR1;162;1053;19/12/2025
B&P-047-ASL-205-25MM;162;1059;19/12/2025
B&P-048-CF5202-2RST-;162;1068;19/12/2025
BPB-047-FD-205-A1;0;;26/11/2025
BPB-037-UPN40X20;0;;27/11/2025
BPB-037-TO8X20-CT;0;;27/11/2025
BPB-037-SAE1045;0;;03/12/2025
BPB-999-SAE1045Ø47.6;0;;03/12/2025
CTI-250-112CB-A7;0;;15/12/2025
BPB-056-DS3075C25-B;0;;21/11/2025
BPB-056-ENG307516CHS;0;;28/11/2025
BPB-056-DS3075C25CHS;0;;28/11/2025
BPB-056-DS3075C25-B;0;;02/12/2025
BPB-056-ENG307516CHS;0;;04/12/2025
BPB-056-DS3075C25CHS;0;;04/12/2025
BPB-056-DS3075C25-B;0;;11/12/2025
BPB-056-DS3075C25-B;0;;11/12/2025
BPB-056-ENG307516CHS;0;;19/12/2025
BPB-056-DS3075C25CHS;0;;19/12/2025
B&P-059-AG59517-65;0;;26/11/2025
B&P-059-AG59517-65;0;;26/11/2025
B&P-059-AG59517-65;0;;26/11/2025
BPB-999-30203-MX;0;;04/12/2025
B&P-041-LS16-2RS;0;;12/12/2025
B&P-031-DAC-34670037;0;;18/12/2025
